Tamaño,Hilos,algoritmo,tiempo
1024,4,Paralelo V1,122
1024,4,Paralelo V1,160
1024,4,Paralelo V1,181
1024,4,Paralelo V1,200
1024,4,Paralelo V1,226
1024,4,Paralelo V1,247
1024,4,Paralelo V1,266
1024,4,Paralelo V1,286
1024,4,Paralelo V1,307
1024,4,Paralelo V1,326
1024,1023,Paralelo V2,240962
1024,1,Secuencial,0
1024,4,Paralelo V1,17
1024,4,Paralelo V1,34
1024,4,Paralelo V1,50
1024,4,Paralelo V1,66
1024,4,Paralelo V1,83
1024,4,Paralelo V1,100
1024,4,Paralelo V1,117
1024,4,Paralelo V1,134
1024,4,Paralelo V1,151
1024,4,Paralelo V1,167
1024,1023,Paralelo V2,245284
1024,1,Secuencial,0
1024,4,Paralelo V1,17
1024,4,Paralelo V1,33
1024,4,Paralelo V1,48
1024,4,Paralelo V1,65
1024,4,Paralelo V1,81
1024,4,Paralelo V1,98
1024,4,Paralelo V1,113
1024,4,Paralelo V1,131
1024,4,Paralelo V1,147
1024,4,Paralelo V1,163
1024,1023,Paralelo V2,239845
1024,1,Secuencial,0
1024,4,Paralelo V1,21
1024,4,Paralelo V1,38
1024,4,Paralelo V1,56
1024,4,Paralelo V1,76
1024,4,Paralelo V1,95
1024,4,Paralelo V1,115
1024,4,Paralelo V1,134
1024,4,Paralelo V1,153
1024,4,Paralelo V1,173
1024,4,Paralelo V1,192
1024,1023,Paralelo V2,243935
1024,1,Secuencial,0
1024,4,Paralelo V1,20
1024,4,Paralelo V1,39
1024,4,Paralelo V1,59
1024,4,Paralelo V1,87
1024,4,Paralelo V1,106
1024,4,Paralelo V1,124
1024,4,Paralelo V1,143
1024,4,Paralelo V1,161
1024,4,Paralelo V1,180
1024,4,Paralelo V1,199
1024,1023,Paralelo V2,241027
1024,1,Secuencial,0
1024,4,Paralelo V1,17
1024,4,Paralelo V1,33
1024,4,Paralelo V1,50
1024,4,Paralelo V1,67
1024,4,Paralelo V1,84
1024,4,Paralelo V1,100
1024,4,Paralelo V1,118
1024,4,Paralelo V1,134
1024,4,Paralelo V1,152
1024,4,Paralelo V1,168
1024,1023,Paralelo V2,245143
1024,1,Secuencial,0
1024,4,Paralelo V1,20
1024,4,Paralelo V1,39
1024,4,Paralelo V1,57
1024,4,Paralelo V1,76
1024,4,Paralelo V1,96
1024,4,Paralelo V1,115
1024,4,Paralelo V1,135
1024,4,Paralelo V1,154
1024,4,Paralelo V1,173
1024,4,Paralelo V1,191
1024,1023,Paralelo V2,238544
1024,1,Secuencial,0
1024,4,Paralelo V1,18
1024,4,Paralelo V1,35
1024,4,Paralelo V1,52
1024,4,Paralelo V1,71
1024,4,Paralelo V1,88
1024,4,Paralelo V1,105
1024,4,Paralelo V1,122
1024,4,Paralelo V1,140
1024,4,Paralelo V1,158
1024,4,Paralelo V1,175
1024,1023,Paralelo V2,240240
1024,1,Secuencial,0
1024,4,Paralelo V1,19
1024,4,Paralelo V1,37
1024,4,Paralelo V1,53
1024,4,Paralelo V1,69
1024,4,Paralelo V1,87
1024,4,Paralelo V1,103
