Tamaño,Hilos,algoritmo,tiempo
1024,4,Paralelo V1,57
1024,4,Paralelo V1,80
1024,4,Paralelo V1,111
1024,4,Paralelo V1,134
1024,4,Paralelo V1,156
1024,4,Paralelo V1,177
1024,4,Paralelo V1,197
1024,4,Paralelo V1,217
1024,4,Paralelo V1,238
1024,4,Paralelo V1,259
1024,1023,Paralelo V2,265124
1024,1,Secuencial,0
1024,4,Paralelo V1,21
1024,4,Paralelo V1,39
1024,4,Paralelo V1,59
1024,4,Paralelo V1,77
1024,4,Paralelo V1,97
1024,4,Paralelo V1,116
1024,4,Paralelo V1,134
1024,4,Paralelo V1,154
1024,4,Paralelo V1,173
1024,4,Paralelo V1,191
1024,1023,Paralelo V2,250030
1024,1,Secuencial,0
1024,4,Paralelo V1,29
1024,4,Paralelo V1,51
1024,4,Paralelo V1,72
1024,4,Paralelo V1,93
1024,4,Paralelo V1,114
1024,4,Paralelo V1,135
1024,4,Paralelo V1,158
1024,4,Paralelo V1,179
1024,4,Paralelo V1,200
1024,4,Paralelo V1,221
1024,1023,Paralelo V2,247433
1024,1,Secuencial,0
1024,4,Paralelo V1,21
1024,4,Paralelo V1,39
1024,4,Paralelo V1,57
1024,4,Paralelo V1,76
1024,4,Paralelo V1,97
1024,4,Paralelo V1,116
1024,4,Paralelo V1,135
1024,4,Paralelo V1,154
1024,4,Paralelo V1,174
1024,4,Paralelo V1,193
1024,1023,Paralelo V2,245302
1024,1,Secuencial,0
1024,4,Paralelo V1,23
1024,4,Paralelo V1,41
1024,4,Paralelo V1,60
1024,4,Paralelo V1,79
1024,4,Paralelo V1,99
1024,4,Paralelo V1,119
1024,4,Paralelo V1,138
1024,4,Paralelo V1,157
1024,4,Paralelo V1,177
1024,4,Paralelo V1,195
1024,1023,Paralelo V2,250594
1024,1,Secuencial,0
1024,4,Paralelo V1,21
1024,4,Paralelo V1,40
1024,4,Paralelo V1,61
1024,4,Paralelo V1,80
1024,4,Paralelo V1,100
1024,4,Paralelo V1,121
1024,4,Paralelo V1,140
1024,4,Paralelo V1,158
1024,4,Paralelo V1,178
1024,4,Paralelo V1,199
1024,1023,Paralelo V2,245996
1024,1,Secuencial,0
1024,4,Paralelo V1,23
1024,4,Paralelo V1,42
1024,4,Paralelo V1,62
1024,4,Paralelo V1,82
1024,4,Paralelo V1,103
1024,4,Paralelo V1,123
1024,4,Paralelo V1,143
1024,4,Paralelo V1,163
1024,4,Paralelo V1,184
1024,4,Paralelo V1,204
1024,1023,Paralelo V2,256402
1024,1,Secuencial,0
1024,4,Paralelo V1,24
1024,4,Paralelo V1,45
1024,4,Paralelo V1,65
1024,4,Paralelo V1,85
1024,4,Paralelo V1,107
1024,4,Paralelo V1,126
1024,4,Paralelo V1,144
1024,4,Paralelo V1,162
1024,4,Paralelo V1,182
1024,4,Paralelo V1,202
1024,1023,Paralelo V2,251019
1024,1,Secuencial,0
1024,4,Paralelo V1,23
1024,4,Paralelo V1,42
1024,4,Paralelo V1,61
1024,4,Paralelo V1,81
1024,4,Paralelo V1,101
1024,4,Paralelo V1,122
1024,4,Paralelo V1,142
1024,4,Paralelo V1,161
1024,4,Paralelo V1,182
1024,4,Paralelo V1,201
1024,1023,Paralelo V2,235929
1024,1,Secuencial,0
1024,4,Paralelo V1,20
1024,4,Paralelo V1,37
1024,4,Paralelo V1,55
1024,4,Paralelo V1,72
1024,4,Paralelo V1,90
1024,4,Paralelo V1,109
1024,4,Paralelo V1,126
1024,4,Paralelo V1,144
1024,4,Paralelo V1,161
1024,4,Paralelo V1,179
1024,1023,Paralelo V2,245537
1024,1,Secuencial,0
2048,4,Paralelo V1,22
2048,4,Paralelo V1,42
2048,4,Paralelo V1,63
2048,4,Paralelo V1,82
2048,4,Paralelo V1,101
2048,4,Paralelo V1,121
2048,4,Paralelo V1,142
2048,4,Paralelo V1,161
2048,4,Paralelo V1,182
2048,4,Paralelo V1,201
2048,2047,Paralelo V2,584387
2048,1,Secuencial,1
2048,4,Paralelo V1,22
2048,4,Paralelo V1,42
2048,4,Paralelo V1,62
2048,4,Paralelo V1,81
2048,4,Paralelo V1,102
2048,4,Paralelo V1,123
2048,4,Paralelo V1,143
2048,4,Paralelo V1,165
2048,4,Paralelo V1,186
2048,4,Paralelo V1,206
2048,2047,Paralelo V2,601187
2048,1,Secuencial,1
2048,4,Paralelo V1,23
2048,4,Paralelo V1,44
2048,4,Paralelo V1,63
2048,4,Paralelo V1,81
2048,4,Paralelo V1,99
2048,4,Paralelo V1,119
2048,4,Paralelo V1,137
2048,4,Paralelo V1,156
2048,4,Paralelo V1,175
2048,4,Paralelo V1,194
2048,2047,Paralelo V2,601465
2048,1,Secuencial,1
2048,4,Paralelo V1,22
2048,4,Paralelo V1,41
2048,4,Paralelo V1,60
2048,4,Paralelo V1,80
2048,4,Paralelo V1,100
2048,4,Paralelo V1,119
2048,4,Paralelo V1,138
2048,4,Paralelo V1,158
2048,4,Paralelo V1,177
2048,4,Paralelo V1,197
2048,2047,Paralelo V2,586015
2048,1,Secuencial,1
2048,4,Paralelo V1,22
2048,4,Paralelo V1,47
2048,4,Paralelo V1,67
2048,4,Paralelo V1,88
2048,4,Paralelo V1,109
2048,4,Paralelo V1,130
2048,4,Paralelo V1,152
2048,4,Paralelo V1,172
2048,4,Paralelo V1,192
2048,4,Paralelo V1,213
2048,2047,Paralelo V2,610531
2048,1,Secuencial,1
2048,4,Paralelo V1,21
2048,4,Paralelo V1,40
2048,4,Paralelo V1,59
2048,4,Paralelo V1,79
2048,4,Paralelo V1,100
2048,4,Paralelo V1,121
2048,4,Paralelo V1,141
2048,4,Paralelo V1,161
2048,4,Paralelo V1,181
2048,4,Paralelo V1,201
2048,2047,Paralelo V2,575936
2048,1,Secuencial,1
2048,4,Paralelo V1,22
2048,4,Paralelo V1,41
2048,4,Paralelo V1,61
2048,4,Paralelo V1,80
2048,4,Paralelo V1,100
2048,4,Paralelo V1,120
2048,4,Paralelo V1,139
2048,4,Paralelo V1,158
2048,4,Paralelo V1,177
2048,4,Paralelo V1,197
2048,2047,Paralelo V2,604993
2048,1,Secuencial,1
2048,4,Paralelo V1,21
2048,4,Paralelo V1,38
2048,4,Paralelo V1,54
2048,4,Paralelo V1,71
2048,4,Paralelo V1,88
2048,4,Paralelo V1,106
2048,4,Paralelo V1,123
2048,4,Paralelo V1,140
2048,4,Paralelo V1,157
2048,4,Paralelo V1,174
2048,2047,Paralelo V2,589757
2048,1,Secuencial,1
2048,4,Paralelo V1,22
2048,4,Paralelo V1,42
2048,4,Paralelo V1,62
2048,4,Paralelo V1,81
2048,4,Paralelo V1,102
2048,4,Paralelo V1,122
2048,4,Paralelo V1,142
2048,4,Paralelo V1,161
2048,4,Paralelo V1,181
2048,4,Paralelo V1,201
2048,2047,Paralelo V2,573810
2048,1,Secuencial,1
2048,4,Paralelo V1,24
2048,4,Paralelo V1,43
2048,4,Paralelo V1,63
2048,4,Paralelo V1,83
2048,4,Paralelo V1,102
2048,4,Paralelo V1,122
2048,4,Paralelo V1,142
2048,4,Paralelo V1,163
2048,4,Paralelo V1,183
2048,4,Paralelo V1,203
2048,2047,Paralelo V2,544922
2048,1,Secuencial,1
4096,4,Paralelo V1,23
4096,4,Paralelo V1,43
4096,4,Paralelo V1,64
4096,4,Paralelo V1,83
4096,4,Paralelo V1,104
4096,4,Paralelo V1,124
4096,4,Paralelo V1,143
4096,4,Paralelo V1,163
4096,4,Paralelo V1,182
4096,4,Paralelo V1,202
4096,4095,Paralelo V2,1220802
4096,1,Secuencial,2
4096,4,Paralelo V1,20
4096,4,Paralelo V1,37
4096,4,Paralelo V1,55
4096,4,Paralelo V1,72
4096,4,Paralelo V1,89
4096,4,Paralelo V1,108
4096,4,Paralelo V1,126
4096,4,Paralelo V1,144
4096,4,Paralelo V1,161
4096,4,Paralelo V1,178
4096,4095,Paralelo V2,1310110
4096,1,Secuencial,2
4096,4,Paralelo V1,22
4096,4,Paralelo V1,42
4096,4,Paralelo V1,62
4096,4,Paralelo V1,81
4096,4,Paralelo V1,101
4096,4,Paralelo V1,121
4096,4,Paralelo V1,142
4096,4,Paralelo V1,161
4096,4,Paralelo V1,182
4096,4,Paralelo V1,204
4096,4095,Paralelo V2,1347783
4096,1,Secuencial,2
4096,4,Paralelo V1,22
4096,4,Paralelo V1,42
4096,4,Paralelo V1,61
4096,4,Paralelo V1,80
4096,4,Paralelo V1,100
4096,4,Paralelo V1,119
4096,4,Paralelo V1,138
4096,4,Paralelo V1,158
4096,4,Paralelo V1,178
4096,4,Paralelo V1,198
4096,4095,Paralelo V2,1292803
4096,1,Secuencial,2
4096,4,Paralelo V1,21
4096,4,Paralelo V1,38
4096,4,Paralelo V1,56
4096,4,Paralelo V1,78
4096,4,Paralelo V1,97
4096,4,Paralelo V1,115
4096,4,Paralelo V1,133
4096,4,Paralelo V1,150
4096,4,Paralelo V1,168
4096,4,Paralelo V1,186
4096,4095,Paralelo V2,1257008
4096,1,Secuencial,2
4096,4,Paralelo V1,32
4096,4,Paralelo V1,56
4096,4,Paralelo V1,76
4096,4,Paralelo V1,96
4096,4,Paralelo V1,117
4096,4,Paralelo V1,136
4096,4,Paralelo V1,155
4096,4,Paralelo V1,176
4096,4,Paralelo V1,196
4096,4,Paralelo V1,216
4096,4095,Paralelo V2,1224636
4096,1,Secuencial,2
4096,4,Paralelo V1,23
4096,4,Paralelo V1,41
4096,4,Paralelo V1,58
4096,4,Paralelo V1,76
4096,4,Paralelo V1,93
4096,4,Paralelo V1,110
4096,4,Paralelo V1,127
4096,4,Paralelo V1,144
4096,4,Paralelo V1,161
4096,4,Paralelo V1,178
4096,4095,Paralelo V2,1290896
4096,1,Secuencial,2
4096,4,Paralelo V1,20
4096,4,Paralelo V1,37
4096,4,Paralelo V1,53
4096,4,Paralelo V1,70
4096,4,Paralelo V1,89
4096,4,Paralelo V1,106
