Tamaño,Hilos,algoritmo,tiempo
4,1,Paralelo V1,571
4,2,Paralelo V1,408
4,4,Paralelo V1,960
4,3,Paralelo V2,679
4,1,Secuencial,0
8,1,Paralelo V1,310
8,2,Paralelo V1,519
8,4,Paralelo V1,408
8,8,Paralelo V1,1329
8,7,Paralelo V2,999
8,1,Secuencial,0
16,1,Paralelo V1,56
16,2,Paralelo V1,180
16,4,Paralelo V1,426
16,8,Paralelo V1,3175
16,16,Paralelo V1,6329
16,15,Paralelo V2,3370
16,1,Secuencial,0
32,1,Paralelo V1,62
32,2,Paralelo V1,187
32,4,Paralelo V1,438
32,8,Paralelo V1,1456
32,16,Paralelo V1,3964
32,32,Paralelo V1,9521
32,31,Paralelo V2,7950
32,1,Secuencial,0
64,1,Paralelo V1,27
64,2,Paralelo V1,213
64,4,Paralelo V1,427
64,8,Paralelo V1,1710
64,16,Paralelo V1,3360
64,32,Paralelo V1,11066
64,64,Paralelo V1,35169
64,63,Paralelo V2,17545
64,1,Secuencial,0
128,1,Paralelo V1,397
128,2,Paralelo V1,393
128,4,Paralelo V1,845
128,8,Paralelo V1,1662
128,16,Paralelo V1,4736
128,32,Paralelo V1,10785
128,64,Paralelo V1,25254
128,128,Paralelo V1,50115
128,127,Paralelo V2,47975
128,1,Secuencial,1
256,1,Paralelo V1,402
256,2,Paralelo V1,946
256,4,Paralelo V1,1232
256,8,Paralelo V1,4448
256,16,Paralelo V1,7805
256,32,Paralelo V1,12732
256,64,Paralelo V1,24422
256,128,Paralelo V1,48566
256,256,Paralelo V1,111354
256,255,Paralelo V2,94042
256,1,Secuencial,0
512,1,Paralelo V1,92
512,2,Paralelo V1,365
512,4,Paralelo V1,656
512,8,Paralelo V1,3000
512,16,Paralelo V1,7984
512,32,Paralelo V1,10867
512,64,Paralelo V1,24079
512,128,Paralelo V1,52170
512,256,Paralelo V1,119067
512,512,Paralelo V1,252856
512,511,Paralelo V2,220456
512,1,Secuencial,1
1024,1,Paralelo V1,278
1024,2,Paralelo V1,498
1024,4,Paralelo V1,421
1024,8,Paralelo V1,1311
1024,16,Paralelo V1,3924
1024,32,Paralelo V1,11022
1024,64,Paralelo V1,22547
1024,128,Paralelo V1,52391
1024,256,Paralelo V1,112569
1024,512,Paralelo V1,250390
1024,1024,Paralelo V1,539871
1024,1023,Paralelo V2,497707
1024,1,Secuencial,2
2048,1,Paralelo V1,125
2048,2,Paralelo V1,419
2048,4,Paralelo V1,626
2048,8,Paralelo V1,1442
2048,16,Paralelo V1,3763
2048,32,Paralelo V1,9016
2048,64,Paralelo V1,24134
2048,128,Paralelo V1,54969
2048,256,Paralelo V1,118738
2048,512,Paralelo V1,255239
2048,1024,Paralelo V1,572414
2048,2048,Paralelo V1,1206235
2048,2047,Paralelo V2,1014630
2048,1,Secuencial,5
4096,1,Paralelo V1,131
4096,2,Paralelo V1,225
4096,4,Paralelo V1,463
4096,8,Paralelo V1,2259
4096,16,Paralelo V1,3596
4096,32,Paralelo V1,11288
4096,64,Paralelo V1,22873
4096,128,Paralelo V1,56520
4096,256,Paralelo V1,119256
4096,512,Paralelo V1,255011
4096,1024,Paralelo V1,573605
4096,2048,Paralelo V1,1168287
4096,4096,Paralelo V1,2762445
4096,4095,Paralelo V2,2426132
4096,1,Secuencial,10
8192,1,Paralelo V1,161
8192,2,Paralelo V1,348
8192,4,Paralelo V1,708
8192,8,Paralelo V1,2202
8192,16,Paralelo V1,3971
8192,32,Paralelo V1,11208
8192,64,Paralelo V1,24945
8192,128,Paralelo V1,51229
8192,256,Paralelo V1,113619
8192,512,Paralelo V1,265932
8192,1024,Paralelo V1,540839
8192,2048,Paralelo V1,1275917
8192,4096,Paralelo V1,2722238
8192,1,Secuencial,20
16384,1,Paralelo V1,269
16384,2,Paralelo V1,659
16384,4,Paralelo V1,1269
16384,8,Paralelo V1,3172
16384,16,Paralelo V1,3660
16384,32,Paralelo V1,11700
16384,64,Paralelo V1,23116
16384,128,Paralelo V1,48587
16384,256,Paralelo V1,120951
16384,512,Paralelo V1,238183
16384,1024,Paralelo V1,541798
16384,2048,Paralelo V1,1185645
16384,4096,Paralelo V1,2724488
16384,1,Secuencial,43
32768,1,Paralelo V1,487
32768,2,Paralelo V1,1088
32768,4,Paralelo V1,2062
32768,8,Paralelo V1,3477
32768,16,Paralelo V1,9729
32768,32,Paralelo V1,22607
32768,64,Paralelo V1,22395
32768,128,Paralelo V1,56266
32768,256,Paralelo V1,115354
32768,512,Paralelo V1,258981
32768,1024,Paralelo V1,525765
32768,2048,Paralelo V1,1262170
32768,4096,Paralelo V1,2590592
32768,1,Secuencial,80
65536,1,Paralelo V1,679
65536,2,Paralelo V1,1005
65536,4,Paralelo V1,1461
65536,8,Paralelo V1,4334
65536,16,Paralelo V1,5128
65536,32,Paralelo V1,13989
65536,64,Paralelo V1,25515
65536,128,Paralelo V1,55570
65536,256,Paralelo V1,133816
65536,512,Paralelo V1,256171
65536,1024,Paralelo V1,574683
65536,2048,Paralelo V1,1210027
65536,4096,Paralelo V1,2633096
65536,1,Secuencial,162
131072,1,Paralelo V1,1682
131072,2,Paralelo V1,1456
