Tamaño,Hilos,algoritmo,tiempo
4,1,Paralelo V1,68
4,2,Paralelo V1,74
4,4,Paralelo V1,227
4,3,Paralelo V2,80
4,1,Secuencial,0
4,1,Paralelo V1,18
4,2,Paralelo V1,62
4,4,Paralelo V1,179
4,3,Paralelo V2,78
4,1,Secuencial,0
4,1,Paralelo V1,18
4,2,Paralelo V1,62
4,4,Paralelo V1,160
4,3,Paralelo V2,75
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,63
4,4,Paralelo V1,159
4,3,Paralelo V2,74
4,1,Secuencial,0
4,1,Paralelo V1,16
4,2,Paralelo V1,60
4,4,Paralelo V1,152
4,3,Paralelo V2,72
4,1,Secuencial,0
4,1,Paralelo V1,16
4,2,Paralelo V1,60
4,4,Paralelo V1,157
4,3,Paralelo V2,73
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,60
4,4,Paralelo V1,154
4,3,Paralelo V2,76
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,58
4,4,Paralelo V1,182
4,3,Paralelo V2,74
4,1,Secuencial,0
4,1,Paralelo V1,18
4,2,Paralelo V1,66
4,4,Paralelo V1,156
4,3,Paralelo V2,74
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,60
4,4,Paralelo V1,156
4,3,Paralelo V2,72
4,1,Secuencial,0
4,1,Paralelo V1,16
4,2,Paralelo V1,60
4,4,Paralelo V1,154
4,3,Paralelo V2,73
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,60
4,4,Paralelo V1,156
4,3,Paralelo V2,88
4,1,Secuencial,0
4,1,Paralelo V1,19
4,2,Paralelo V1,59
4,4,Paralelo V1,154
4,3,Paralelo V2,71
4,1,Secuencial,0
4,1,Paralelo V1,16
4,2,Paralelo V1,65
4,4,Paralelo V1,151
4,3,Paralelo V2,69
4,1,Secuencial,0
4,1,Paralelo V1,16
4,2,Paralelo V1,61
4,4,Paralelo V1,159
4,3,Paralelo V2,74
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,62
4,4,Paralelo V1,161
4,3,Paralelo V2,77
4,1,Secuencial,0
4,1,Paralelo V1,16
4,2,Paralelo V1,61
4,4,Paralelo V1,159
4,3,Paralelo V2,74
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,63
4,4,Paralelo V1,161
4,3,Paralelo V2,77
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,61
4,4,Paralelo V1,160
4,3,Paralelo V2,72
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,60
4,4,Paralelo V1,167
4,3,Paralelo V2,73
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,60
4,4,Paralelo V1,159
4,3,Paralelo V2,73
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,62
4,4,Paralelo V1,163
4,3,Paralelo V2,73
4,1,Secuencial,0
4,1,Paralelo V1,18
4,2,Paralelo V1,61
4,4,Paralelo V1,152
4,3,Paralelo V2,71
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,60
4,4,Paralelo V1,223
4,3,Paralelo V2,71
4,1,Secuencial,0
4,1,Paralelo V1,18
4,2,Paralelo V1,60
4,4,Paralelo V1,167
4,3,Paralelo V2,88
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,59
4,4,Paralelo V1,165
4,3,Paralelo V2,80
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,63
4,4,Paralelo V1,164
4,3,Paralelo V2,99
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,60
4,4,Paralelo V1,153
4,3,Paralelo V2,72
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,60
4,4,Paralelo V1,152
4,3,Paralelo V2,71
4,1,Secuencial,0
4,1,Paralelo V1,16
4,2,Paralelo V1,60
4,4,Paralelo V1,155
4,3,Paralelo V2,71
4,1,Secuencial,0
4,1,Paralelo V1,17
4,2,Paralelo V1,60
